text,label
Salah in reply to UEFA: Can you tell us how he died where and why?,matchday_reaction
RIP to the Number 20,matchday_reaction
Salah defending our players on X,matchday_reaction
[Official]: Liverpool FC will retire the number 20 jersey,transfer_rumor
Liverpool [1] - 0 Arsenal - D. Szoboszlai 83',matchday_reaction
Salah crying after the Match,matchday_reaction
Newcastle United 2 - [3] Liverpool - R. Ngumoha 90+9',matchday_reaction
Andy Robertson on Instagram,matchday_reaction
Chelsea players giving $500k to Jota family,matchday_reaction
Regardless of how it ends thank you for our 20th league title,matchday_reaction
James Milner has retired from professional football,matchday_reaction
Jarell Quansah for Diogo Jota scores on Bundesliga debut,matchday_reaction
James Milner gets a standing ovation from the fans,matchday_reaction
Liverpool star Diogo Jota has died in a car crash,matchday_reaction
Despite Isak scoring for Liverpool Newcastle won't sell,hot_take
Mo's Instagram post,matchday_reaction
Mohamed Salah Subbed off for the last time as a Liverpool Player,matchday_reaction
Thank you for everything Mo. End of an era.,matchday_reaction
Bro is a prophet,matchday_reaction
This just breaks my heart,matchday_reaction
Incredible goal by Luis Diaz,matchday_reaction
Federico Chiesa is the Standard Chartered Player of the Month,matchday_reaction
Look how happy he is. I love this team so much,matchday_reaction
Wataru Endo stood up to defend that corner with broken ankle,matchday_reaction
Congrats Robbo captaining Scotland to their first World Cup,matchday_reaction
Antoine Semenyo statement after last night,matchday_reaction
Liverpool (1)-0 Manchester City - Szoboszlai 74' Free Kick,matchday_reaction
He really ran it back,matchday_reaction
Kostas Tsimikas updated his Instagram bio: 'Scouser in Rome',matchday_reaction
Liverpool [2]-0 Wolves - Florian Wirtz 42',matchday_reaction
Elliott goodbye post,matchday_reaction
Jordan Henderson visits Anfield to pay respects,matchday_reaction
The mural is complete,matchday_reaction
Newcastle reach agreement with Liverpool to sell Isak £125m,transfer_rumor
Luis Diaz scores first goal for Bayern does Jota's celebration,matchday_reaction
Liverpool [3] - 2 Atletico Madrid - V. van Dijk 90+1',matchday_reaction
Jordan Henderson does the Jota celebration after scoring,matchday_reaction
[PFA] Mohamed Salah is the PFA Players' Player of the Year,matchday_reaction
Darwin responding to little Isaac,matchday_reaction
What a performance,matchday_reaction
This photo is insane,matchday_reaction
Wolves's tribute for Diogo Jota,matchday_reaction
Caoimhin Kelleher penalty save against Manchester United,matchday_reaction
Raul Jimenez tribute to Jota after scoring,matchday_reaction
They won the f****** lot,matchday_reaction
James Milner dedicated his goal to Diogo Jota,matchday_reaction
Liverpool [1] - 0 Fulham Ngumoha 37',matchday_reaction
Post for Diogo Jota (mod megathread),matchday_reaction
Switzerland 2-[3] Germany - Florian Wirtz 61',matchday_reaction
Finally someone said it (about Darwin after Jota's death),hot_take
James Milner will wear the number 20 shirt at Brighton,matchday_reaction
Chiesa 88' Goal LIV 3-2 BOU,matchday_reaction
Kelleher saved Cristiano Ronaldo penalty,matchday_reaction
This image can't be real,matchday_reaction
Ekitike apology on Instagram,matchday_reaction
What a performance. (player appreciation),matchday_reaction
Beautiful words from Mourinho about our boy,matchday_reaction
Burnley had Jota memorialized on their match day lineups,matchday_reaction
[LFC] Ryan Gravenberch signed a new long-term contract,transfer_rumor
Ibrahima Konate's father has passed away,matchday_reaction
Lucho's farewell message [IG],matchday_reaction
Diogo picked this photo to put in his house,matchday_reaction
Never laughed so much watching Liverpool,matchday_reaction
This really hit me hard lads,matchday_reaction
[Lynch] Andy Robertson confirmed as Liverpool's new vice-captain,transfer_rumor
Virgil with an old friend (Klopp),matchday_reaction
Wholesome Moment.,matchday_reaction
Chiesa on the line save,matchday_reaction
Andy Robertson to leave Liverpool FC,transfer_rumor
Class touch from Frankfurt (Jota tribute),matchday_reaction
Sadio Mané has now won his 2nd African Cup of Nations,matchday_reaction
Can we please retire this number forever,hot_take
Alexander Isak on Instagram,transfer_rumor
Bobby on Instagram,matchday_reaction
Norway 3-[1] Sweden - Alexander Isak 76',matchday_reaction
If I die early it's because of Liverpool...RIOOOOO,matchday_reaction
How can you not love this man,matchday_reaction
Klopp should've had at least 3 (Ballon d'Or),hot_take
Gio Leoni is a Red,transfer_rumor
[Official] Liverpool FC can confirm Arne Slot is to depart,transfer_rumor
Gabriel Martinelli Shoving an Injured Conor Bradley Off The Pitch,matchday_reaction
Peter Schmeichel: Arsenal bring UGLY brand of football,hot_take
...One More Season? (Salah),hot_take
Manchester United with a nice gesture today (Jota tribute),matchday_reaction
Liverpool have unveiled a new mural in memory of Diogo Jota,matchday_reaction
A Scousers reunion (international),matchday_reaction
MACCA (Again) 97' LIV - 0 NFO,matchday_reaction
Felt inspired to post a defender scoring a penalty,matchday_reaction
Tribute video shared by Ibou on Instagram,matchday_reaction
This beautiful man,matchday_reaction
Just leaving this here,hot_take
Liverpool (4)-1 Newcastle - Ibrahima Konate 90+3',matchday_reaction
Never deleting this photo,matchday_reaction
"[LFC Instagram] ""Diogo""",matchday_reaction
Has to be one of the greatest Liverpool photos ever,matchday_reaction
After 3 1/2 seasons it looks like Lucho is leaving,matchday_reaction
Klopp watching this transfer window,hot_take
Bruno Fernandes' X account has been hacked (meme),hot_take
"Never forget that clip of Jurgen saying: ""This is football.""",matchday_reaction
Isak has arrived to the training ground,transfer_rumor
Possession won and lost is a kinda odd stat - under Klopp we took more risks so lost possession more but our pressing and counter pressing was so good we won the ball back loads. With Slot it's like let's keep possession for the sake of it and mostly achieve very little,analysis
Klopp was happy for the team to be direct in attack because he wanted to create chaotic situations to counter press and win the ball back when the opposition was out of their defensive shape. He wasn't trying to break down an opposition block he was trying to break it apart.,analysis
They can't even keep possession under Slot all this talk of control is players just playing it backwards and sideways and back to Ali to launch it forward.,hot_take
Agree there is a difference between possession and productive possession. No point having the ball 60% of the game if 40% of that is passing it about uselessly before losing the ball.,analysis
I remember someone saying Trent's long balls give opportunities to win the ball back in dangerous areas. With Slot's approach it takes ages for the ball to get into dangerous areas because he'd rather avoid the risk lest we lose possession.,analysis
Matches were exciting. This is dirge football. Almost a different sport.,hot_take
Under Klopp things were not perfect. One of the reasons we had so many changes in possession was aimless crosses. We'd press win it back quickly and try again. It could be repetitive and frustrating but it got results.,analysis
We don't even get into crossing positions under Slot and at the moment we don't have answers to low blocks mid blocks or even high blocks. Even then I think you're overblowing how much we struggled against low blocks under Klopp. Our record against Dyche was good.,analysis
Lowest 38 game points total since we fired Brendan. Writing is on the wall. Get him out.,hot_take
I won't be watching Liverpool again until Slot is gone. Ineffective in attack fragile in defense and just generally boring and useless. Time is up.,hot_take
Honestly we have been playing poorly for over 1 year since 2025 Ramadan. The biggest reason why we won last season is due to the underform of Arsenal and Man City while Salah signed a binding vow to reach ultimate performance.,hot_take
We played well until the PSG game and then ran out of steam. I want Slot out but idiots claiming an Arsenal underperformance for us winning are absolutely nincompoops.,hot_take
No we started slipping up in December we got quite lucky against Newcastle away. We had some touchy fixtures in January as well.,analysis
We were a good side throughout all of last season but not this season. So it can't be the manager it can only be the summer business among other factors.,analysis
We were a good side for the 1st half of last season but come February we were pushing our luck. The struggles with getting the ball up the pitch quickly started to show. We were easy to play through.,analysis
We're going to finish below Man Utd do you think they have a better squad than we do? The only difference between us is the managers really.,hot_take
We are not controlling games just possession. We can hold on to the ball well but we can't limit teams from creating chances we're dead easy to play through.,analysis
I don't think us playing midweek fixtures counts for much. We have a team that's used to a congested schedule. We actually have a bigger squad than Man Utd.,analysis
Slot hasn't been good enough over the last calendar year. The issues we've been seeing haven't popped up this season they've been everpresent with no end in sight.,analysis
What happened in April? We were such a good team and then it turned to shit. I still don't understand what happened to Slot. He had great game management until it just disappeared.,hot_take
As the famous saying goes why fix something that isn't broken. It was working fine as long as he didn't change the tactics much. Once he started imprinting his tactics on the team we started to regress. Slot had no plan B once teams figured him out.,analysis
Going on vacation every week when the season was still going. That's what happened in April. Slot let the standards fall off a cliff.,hot_take
Slot has 100% put us back at Rodgers level with a huge spend. Rodgers was better with Jon Flanagan at LB.,hot_take
I mean we basically didn't have Trent for that entire period. It's no shock that our form dips when the main playmaker is out. Salah needs players like Trent and Firmino around him to create chances.,analysis
There are interviews where Trent has said Klopp literally wanted him to hit those long balls to create a counterpress situation after the cross turnover which effectively creates defensive disorganisation if we win the ball back.,analysis
The second or third best squad in the league performing like the 6th best. Get rid.,hot_take
Sloth Ball.,hot_take
Stats since April last year last 38 games. The only reason we won last year coz they were playing as a team. Now they are playing as individuals and poorly coached.,analysis
[Romano] EXCLUSIVE: Florian Wirtz to Liverpool HERE WE GO! Liverpool verbally agree deal in principle with Bayer Leverkusen for package reaching €150m add-ons included. Player side already agreed two weeks ago with move now imminent. Wirtz set for medical and contract signing.,transfer_rumor
Mohamed Salah signs new contract with Liverpool FC,transfer_rumor
Liverpool FC complete signing of Thiago Alcantara,transfer_rumor
Liverpool sign Takumi Minamino [Official],transfer_rumor
Mohamed Salah signs new long-term LFC contract,transfer_rumor
Liverpool agree signing of Florian Wirtz from Bayer Leverkusen,transfer_rumor
[LFC] We're delighted to announce that Ryan Gravenberch has today signed a new long-term contract with the Reds,transfer_rumor
EXCLUSIVE: Liverpool have now made their move for Thiago Alcantara. Understand that a fee of around 30million Euros has been agreed with Bayern Munich for the Spain international.,transfer_rumor
[Pearce] Conor Bradley has signed a new contract to 2029,transfer_rumor
We're Signing a True Class Act - Since the Klopp era we've consistently valued a signing's character just as highly as their ability. Based on the evidence Frimpong appears to be a perfect fit for this approach.,transfer_rumor
Liverpool complete signing of Kostas Tsimikas,transfer_rumor
Liverpool agree signing of Jeremie Frimpong from Bayer Leverkusen,transfer_rumor
[Romano] BREAKING: Jeremie Frimpong set to join Liverpool here we go! Agreement done for Dutch right back as Bayer Leverkusen are informed on €35m release clause being triggered. Frimpong will sign a five year deal with medical now being scheduled.,transfer_rumor
Liverpool agree deal to sign Ibrahima Konate from RB Leipzig,transfer_rumor
[LFC] Rio Ngumoha has signed his first professional contract with the Reds,transfer_rumor
Cody Gakpo signs new Liverpool FC contract,transfer_rumor
[Joyce] Liverpool and Newcastle United agree Alexander Isak deal at £125 million. Player expected to sign six year contract,transfer_rumor
Liverpool complete signing of Alexander Isak,transfer_rumor
Communicado Official: Darwin Nunez signs for Liverpool FC!,transfer_rumor
[Paul Joyce] Liverpool have completed the signing of Hugo Ekitike.,transfer_rumor
Bayern Munich reach total agreement with Liverpool to sign Luis Diaz. Deal for 28yo winger €75m + permission granted to travel for medical. Proposed 4+1yr contract at Bayern Munich.,transfer_rumor
Liverpool complete signing of Alexis Mac Allister,transfer_rumor
[Fabrizio Romano] Liverpool have just signed Alexis Mac Allister for £35m. Reds have now triggered the clause to sign the midfielder. Documents are being signed. Here we go confirmed.,transfer_rumor
[Philip Aren] Jeremie Frimpong is set to join Liverpool. They'll activate his 35-40 million euro clause and he will sign a contract until 2030,transfer_rumor
Liverpool agree club record deal with RB Leipzig for Naby Keita which will see him sign NEXT SUMMER.,transfer_rumor
[Joyce] Darwin Nunez deal: £64m initial fee add-ons of £12.8m on appearances and £8.5m on team success. Liverpool preparing medical tomorrow. Nunez currently in Madrid and would sign a six year deal.,transfer_rumor
Ornstein: Mohamed Salah + Virgil van Dijk closing in on signing new 2yr contracts with Liverpool. Both players into final months of existing deals but breakthrough found in negotiations.,transfer_rumor
[David Ornstein] Liverpool submit offer to sign Florian Wirtz from Bayer Leverkusen worth up to €130m in total.,transfer_rumor
Liverpool reach agreement with Eintracht Frankfurt to sign Hugo Ekitike. £79m (£69m fixed £10m bonuses). 6yr contract. Medical then join tour.,transfer_rumor
[Official] Liverpool agree deal to sign Hugo Ekitike from Eintracht Frankfurt,transfer_rumor
BREAKINF: Dominik Szoboszlai to Liverpool here we go! RB Leipzig are now informed that Liverpool have triggered the release clause. €70m deal done. Personal terms agreed.,transfer_rumor
[Ornstein] Liverpool make approach to sign Alexander Isak from Newcastle United. No formal bid yet but communicated interest in deal worth in region of £120m.,transfer_rumor
[Joyce] Florian Wirtz opted to move to Anfield ahead of interest from Bayern Munich Manchester City and also Real Madrid and his signing is viewed as a major coup.,transfer_rumor
Virgil van Dijk signs new Liverpool FC contract,transfer_rumor
[Paul Joyce] Mohamed Salah: Liverpool star signs new contract worth more than £350000-a-week,transfer_rumor
Slot will stay and we'll have a much better run under him next season. r/liverpoolfc is full of whiney entitled children,hot_take
The majority of comments glooming and dooming is indicative of how many plastic fans there are in this sub. Either that or they've forgotten the truly dire Hodgson era. This and last season are transitional periods post Klopp and I expect the next two years to be rough too.,hot_take
The critics who complain about Slot's tactics wouldn't really know how to set the team up either.,hot_take
Slot should be given one more season. This season has too many mitigating factors and he isn't to blame for all our problems. Obviously he has made mistakes but the guy won the Premier League.,hot_take
Slot is a good manager and he isn't even in the top 10 reasons why the team has deflated so badly this season,hot_take
FSG aren't the great owners people make them out to be and were carried by Klopp. They don't really invest that much into the squad themselves and the European Super League topic just showed how out of touch they are.,hot_take
Isak is the new Benteke.,hot_take
Sell szoboszlai this summer while his value is high and buy a CDM with the money. Szobo has a good presence but he's our 4th or 5th best midfielder when it comes to quick passing and press resistance.,hot_take
I don't think Alonso would be successful at Liverpool as manager.,hot_take
Arne Slot is the worst manager we've ever had.,hot_take
Salah was right to feel being made like a scapegoat by Slot. No one was performing because everyone has been terrible this season bar Szoboszlai.,hot_take
I don't look forward to seeing Wirtz anymore. I'm done with him he's not at the level we need.,hot_take
The season has been particularly weird. Everybody is kinda bad. Our football is terrible and I don't enjoy watching it but I'm also perfectly aware that we're 5th somehow.,hot_take
The only thing Isak will accomplish is he'll make Andy Carroll look a bargain.,hot_take
Wirtz isn't even better than Harvey Elliott and when you factor in the price it's a no brainer,hot_take
Rio is just way too limited of a footballer vs the hype he is getting at the moment. Maybe against low level PL full backs he looks good but after 5 minutes against PSG they'd already pocketed him.,hot_take
Marmadashvilli is a clear downgrade over Kelleher. Every time he had the ball last night it created a chance for PSG.,hot_take
This sub completely rewriting history. We don't miss Nunez - his season last year would have been judged differently if Salah didn't carry. 5 goals should be looked as bad.,hot_take
People need to accept that this squad is a top 4 squad at best. Wirtz is one of the most overrated players I've ever seen and Frimpong isn't a good defensive player.,hot_take
Wirtz was supposed to be Szobo replacement because he was useless last season but Szobo stepped up and now Slot doesn't know how to use Wirtz.,hot_take
We're somewhat heading into Arsenal territory. Joke of a manager in charge that turns the club into a joke but you can't theoretically sack him.,hot_take
The headloss from some people has been pathetic. Can see this fanbase turning into what United's was in a fraction of the time.,hot_take
Wirtz and Isak will be like Gerrard and Torres next season,hot_take
No managers could've survived this cursed season.,hot_take
Next season people will see that wingers ain't the problem.,hot_take
Liverpool should give Slot another chance until his contract ends in 2027. This is rebuilding season maybe it will get better next season.,hot_take
FSG have not been good owners,hot_take
Sell everyone except Chiesa and Rio,hot_take
Slot is a problem but no way he is the main problem at the club,hot_take
FSG deserves the club to be in the Conference League.,hot_take
Wirtz and Frimpong both thrived in a very specific 3-4-3 system at Leverkusen and don't actually fit in many modern systems. I honestly can't believe we spent £350m on attacking players and not one of them was a winger.,analysis
